departure_date,total_trips,ebike_trips,avg_distance_km,avg_duration_min,unique_stations,round_trips,weather_temp_max,weather_temp_min,weather_temp_avg,weather_feelslike,weather_precip_mm,weather_precip_prob,weather_snow,weather_windspeed,weather_cloudcover,weather_uvindex,weather_conditions,weather_icon,weather_humidity,weather_bucket,month,month_name,dow,season,ebike_pct
2018-11-30,1,0,0.012,1102.7333333333333,1,0,,,,,,,,,,,,,,,11,November,Friday,Fall,0.0
2018-12-02,1,0,1.77,15.466666666666667,1,0,,,,,,,,,,,,,,,12,December,Sunday,Winter,0.0
2018-12-03,1,0,1.97,15.616666666666667,1,0,,,,,,,,,,,,,,,12,December,Monday,Winter,0.0
2018-12-04,1,0,0.0,0.26666666666666666,1,0,,,,,,,,,,,,,,,12,December,Tuesday,Winter,0.0
2018-12-05,3,0,0.0,0.27777777777777773,1,0,,,,,,,,,,,,,,,12,December,Wednesday,Winter,0.0
2018-12-06,1,0,0.0,0.2833333333333333,1,0,,,,,,,,,,,,,,,12,December,Thursday,Winter,0.0
2024-09-13,1,1,0.0,0.11666666666666667,1,0,,,,,,,,,,,,,,,9,September,Friday,Fall,100.0
2024-09-15,6,6,0.4151666666666667,19.45,1,0,,,,,,,,,,,,,,,9,September,Sunday,Fall,100.0
2024-09-16,1,0,0.0,1.2166666666666666,1,0,,,,,,,,,,,,,,,9,September,Monday,Fall,0.0
2024-09-18,2,1,0.015,0.47500000000000003,1,0,,,,,,,,,,,,,,,9,September,Wednesday,Fall,50.0
2024-09-19,1,0,0.0,0.35,1,0,,,,,,,,,,,,,,,9,September,Thursday,Fall,0.0
2025-01-01,1488,614,2.8971673387096772,34.146538978494625,221,261,5.9,2.7,4.8,3.7,0.0,0.0,0.0,9.1,39.7,1.0,Partially cloudy,partly-cloudy-day,82.2,Partly Cloudy,1,January,Wednesday,Winter,41.3
2025-01-02,1181,517,2.228843353090601,13.402921253175275,225,122,5.2,3.1,4.5,3.6,2.595,100.0,0.0,11.0,56.1,0.0,"Rain, Partially cloudy",rain,89.5,Rain,1,January,Thursday,Winter,43.8
2025-01-03,1169,510,2.2398876561163386,14.428500142572,232,101,6.2,2.1,4.7,4.3,5.149,100.0,0.0,7.2,98.7,0.0,"Rain, Overcast",rain,96.2,Rain,1,January,Friday,Winter,43.6
2025-01-04,827,342,2.5082067714631195,15.131640467553407,202,78,7.5,6.0,7.0,5.3,8.993,100.0,0.0,13.9,99.5,0.0,"Rain, Overcast",rain,95.8,Rain,1,January,Saturday,Winter,41.4
2025-01-05,1646,735,2.5736504678007295,16.875850546780075,227,219,8.0,3.2,6.4,5.8,1.269,100.0,0.0,9.3,76.8,2.0,"Rain, Partially cloudy",rain,94.2,Rain,1,January,Sunday,Winter,44.7
2025-01-06,2091,920,2.5102560162601626,16.985150645624103,244,244,6.6,2.3,4.2,3.3,0.01,100.0,0.0,10.4,29.8,3.0,"Rain, Partially cloudy",rain,96.5,Rain,1,January,Monday,Winter,44.0
2025-01-07,2135,889,2.0484054613583136,13.9903981264637,245,187,6.0,2.2,4.3,4.0,0.627,100.0,0.0,7.0,84.2,1.0,"Rain, Partially cloudy",rain,95.1,Rain,1,January,Tuesday,Winter,41.6
2025-01-08,2327,1074,2.249826815642458,14.004619681993983,246,228,7.8,4.0,6.2,5.8,0.319,100.0,0.0,9.0,67.1,1.0,"Rain, Partially cloudy",rain,94.0,Rain,1,January,Wednesday,Winter,46.2
2025-01-09,2393,1019,2.312669314667781,15.647353391837305,247,261,7.7,3.3,5.8,5.5,0.0,0.0,0.0,8.7,70.9,2.0,Partially cloudy,partly-cloudy-day,92.2,Partly Cloudy,1,January,Thursday,Winter,42.6
2025-01-10,2058,840,2.158768221574344,15.30831713637836,244,216,8.4,5.0,7.0,4.6,8.1,100.0,0.0,27.8,76.6,2.0,"Rain, Partially cloudy",rain,91.2,Rain,1,January,Friday,Winter,40.8
2025-01-11,1668,686,2.2985199820143882,15.133832933653078,235,239,6.8,4.3,5.6,5.3,0.272,100.0,0.0,8.1,86.1,1.0,"Rain, Partially cloudy",rain,90.2,Rain,1,January,Saturday,Winter,41.1
2025-01-12,2040,821,2.7817205882352942,20.33424019607843,240,286,7.9,2.7,5.2,4.3,1.068,100.0,0.0,14.3,44.3,3.0,"Rain, Partially cloudy",rain,88.0,Rain,1,January,Sunday,Winter,40.2
2025-01-13,2049,881,2.1978924694973156,14.232023751423458,245,193,5.5,1.3,3.7,3.7,0.0,0.0,0.0,4.5,87.7,1.0,Partially cloudy,partly-cloudy-day,91.7,Partly Cloudy,1,January,Monday,Winter,43.0
2025-01-14,2545,1116,2.2164087779960706,16.28402095612312,247,251,6.3,2.0,4.2,4.0,0.0,0.0,0.0,6.0,69.0,2.0,Partially cloudy,partly-cloudy-day,90.2,Partly Cloudy,1,January,Tuesday,Winter,43.9
2025-01-15,2469,1051,2.335739303361685,14.456669366815175,246,255,6.8,1.5,4.2,3.8,0.0,0.0,0.0,10.7,25.9,3.0,Partially cloudy,partly-cloudy-day,90.9,Partly Cloudy,1,January,Wednesday,Winter,42.6
