dep_station,ret_station,od_pair,trip_count,avg_distance_km,avg_duration_min,ebike_count,dep_station_name,ret_station_name
0209 Stanley Park - Information Booth,0105 Stanley Park - Totem Poles,0209 Stanley Park - Information Booth → 0105 Stanley Park - Totem Poles,1585,3.0030107255520506,30.64634069400631,673,Stanley Park - Information Booth,Stanley Park - Totem Poles
0209 Stanley Park - Information Booth,0102 Stanley Park - Second Beach North,0209 Stanley Park - Information Booth → 0102 Stanley Park - Second Beach North,1256,7.7670597133757955,61.05098195329088,504,Stanley Park - Information Booth,Stanley Park - Second Beach North
0105 Stanley Park - Totem Poles,0102 Stanley Park - Second Beach North,0105 Stanley Park - Totem Poles → 0102 Stanley Park - Second Beach North,1094,6.907702925045704,50.65048750761731,203,Stanley Park - Totem Poles,Stanley Park - Second Beach North
0105 Stanley Park - Totem Poles,0103 Stanley Park - Third Beach Parking Lot,0105 Stanley Park - Totem Poles → 0103 Stanley Park - Third Beach Parking Lot,1033,5.604508228460794,43.400968054211035,206,Stanley Park - Totem Poles,Stanley Park - Third Beach Parking Lot
0209 Stanley Park - Information Booth,0104 Stanley Park - Second Beach South,0209 Stanley Park - Information Booth → 0104 Stanley Park - Second Beach South,992,7.9144082661290325,62.14956317204301,474,Stanley Park - Information Booth,Stanley Park - Second Beach South
0105 Stanley Park - Totem Poles,0209 Stanley Park - Information Booth,0105 Stanley Park - Totem Poles → 0209 Stanley Park - Information Booth,969,6.426455448916409,55.215651874785,336,Stanley Park - Totem Poles,Stanley Park - Information Booth
0209 Stanley Park - Information Booth,0103 Stanley Park - Third Beach Parking Lot,0209 Stanley Park - Information Booth → 0103 Stanley Park - Third Beach Parking Lot,945,6.5713513227513225,53.82514991181658,368,Stanley Park - Information Booth,Stanley Park - Third Beach Parking Lot
0209 Stanley Park - Information Booth,0181 Denman & Bayshore,0209 Stanley Park - Information Booth → 0181 Denman & Bayshore,735,8.08014693877551,66.7334693877551,382,Stanley Park - Information Booth,Denman & Bayshore
0101 Stanley Park - Vancouver Aquarium,0209 Stanley Park - Information Booth,0101 Stanley Park - Vancouver Aquarium → 0209 Stanley Park - Information Booth,651,6.729294930875576,58.57337429595495,208,Stanley Park - Vancouver Aquarium,Stanley Park - Information Booth
0104 Stanley Park - Second Beach South,0102 Stanley Park - Second Beach North,0104 Stanley Park - Second Beach South → 0102 Stanley Park - Second Beach North,646,7.321558823529411,60.96504127966976,165,Stanley Park - Second Beach South,Stanley Park - Second Beach North
0209 Stanley Park - Information Booth,0101 Stanley Park - Vancouver Aquarium,0209 Stanley Park - Information Booth → 0101 Stanley Park - Vancouver Aquarium,577,5.865856152512999,57.45626805314848,290,Stanley Park - Information Booth,Stanley Park - Vancouver Aquarium
0209 Stanley Park - Information Booth,0028 Davie & Beach,0209 Stanley Park - Information Booth → 0028 Davie & Beach,569,8.754976572934973,66.55427650849443,294,Stanley Park - Information Booth,Davie & Beach
0103 Stanley Park - Third Beach Parking Lot,0028 Davie & Beach,0103 Stanley Park - Third Beach Parking Lot → 0028 Davie & Beach,558,3.125182795698925,21.01636798088411,157,Stanley Park - Third Beach Parking Lot,Davie & Beach
0103 Stanley Park - Third Beach Parking Lot,0102 Stanley Park - Second Beach North,0103 Stanley Park - Third Beach Parking Lot → 0102 Stanley Park - Second Beach North,555,2.434136936936937,21.705825825825826,96,Stanley Park - Third Beach Parking Lot,Stanley Park - Second Beach North
0105 Stanley Park - Totem Poles,0104 Stanley Park - Second Beach South,0105 Stanley Park - Totem Poles → 0104 Stanley Park - Second Beach South,555,7.059165765765766,55.557627627627625,137,Stanley Park - Totem Poles,Stanley Park - Second Beach South
0129 Richards & Robson,0082 Richards & Davie,0129 Richards & Robson → 0082 Richards & Davie,491,0.7946720977596741,9.966972165648336,72,Richards & Robson,Richards & Davie
0181 Denman & Bayshore,0105 Stanley Park - Totem Poles,0181 Denman & Bayshore → 0105 Stanley Park - Totem Poles,475,2.76688,22.17635087719298,106,Denman & Bayshore,Stanley Park - Totem Poles
0074 10th & Main,0001 10th & Cambie,0074 10th & Main → 0001 10th & Cambie,473,0.9476004228329811,9.720401691331924,87,10th & Main,10th & Cambie
0103 Stanley Park - Third Beach Parking Lot,0031 Morton & Denman,0103 Stanley Park - Third Beach Parking Lot → 0031 Morton & Denman,467,2.9631541755888655,30.47769450392577,100,Stanley Park - Third Beach Parking Lot,Morton & Denman
0105 Stanley Park - Totem Poles,0181 Denman & Bayshore,0105 Stanley Park - Totem Poles → 0181 Denman & Bayshore,457,6.124669584245077,49.6966447848286,111,Stanley Park - Totem Poles,Denman & Bayshore
0102 Stanley Park - Second Beach North,0104 Stanley Park - Second Beach South,0102 Stanley Park - Second Beach North → 0104 Stanley Park - Second Beach South,454,4.861911894273128,46.392070484581495,100,Stanley Park - Second Beach North,Stanley Park - Second Beach South
0082 Richards & Davie,0129 Richards & Robson,0082 Richards & Davie → 0129 Richards & Robson,454,0.747248898678414,6.236820851688694,95,Richards & Davie,Richards & Robson
2116 Orchard Commons,2134 UBC Bookstore,2116 Orchard Commons → 2134 UBC Bookstore,449,1.0105300668151447,7.6220118782479584,308,Orchard Commons,UBC Bookstore
0187 Bute & Davie,0300 Bute & Barclay,0187 Bute & Davie → 0300 Bute & Barclay,439,0.4671981776765376,3.1171222475322704,144,Bute & Davie,Bute & Barclay
0040 Cardero & Davie,0041 Cardero & Robson,0040 Cardero & Davie → 0041 Cardero & Robson,437,0.6566064073226545,6.745995423340961,97,Cardero & Davie,Cardero & Robson
2116 Orchard Commons,2143 War Memorial Gym,2116 Orchard Commons → 2143 War Memorial Gym,436,1.2402844036697247,17.856995412844036,324,Orchard Commons,War Memorial Gym
2143 War Memorial Gym,2116 Orchard Commons,2143 War Memorial Gym → 2116 Orchard Commons,435,1.2702919540229884,7.000498084291188,312,War Memorial Gym,Orchard Commons
0209 Stanley Park - Information Booth,0014 Canada Place,0209 Stanley Park - Information Booth → 0014 Canada Place,425,8.214964705882354,72.74525490196079,191,Stanley Park - Information Booth,Canada Place
0103 Stanley Park - Third Beach Parking Lot,0104 Stanley Park - Second Beach South,0103 Stanley Park - Third Beach Parking Lot → 0104 Stanley Park - Second Beach South,417,3.0471558752997603,25.87505995203837,90,Stanley Park - Third Beach Parking Lot,Stanley Park - Second Beach South
0181 Denman & Bayshore,0209 Stanley Park - Information Booth,0181 Denman & Bayshore → 0209 Stanley Park - Information Booth,412,4.024883495145631,38.267030744336566,100,Denman & Bayshore,Stanley Park - Information Booth
0209 Stanley Park - Information Booth,0031 Morton & Denman,0209 Stanley Park - Information Booth → 0031 Morton & Denman,403,8.675563275434243,61.51385442514474,200,Stanley Park - Information Booth,Morton & Denman
2134 UBC Bookstore,2116 Orchard Commons,2134 UBC Bookstore → 2116 Orchard Commons,400,0.9974225,9.618166666666667,284,UBC Bookstore,Orchard Commons
0028 Davie & Beach,0102 Stanley Park - Second Beach North,0028 Davie & Beach → 0102 Stanley Park - Second Beach North,386,4.4428419689119165,34.29356649395509,92,Davie & Beach,Stanley Park - Second Beach North
0041 Cardero & Robson,0040 Cardero & Davie,0041 Cardero & Robson → 0040 Cardero & Davie,383,0.6455248041775457,4.356527415143603,45,Cardero & Robson,Cardero & Davie
0300 Bute & Barclay,0187 Bute & Davie,0300 Bute & Barclay → 0187 Bute & Davie,382,0.5178176178010472,3.110602094240838,79,Bute & Barclay,Bute & Davie
0102 Stanley Park - Second Beach North,0028 Davie & Beach,0102 Stanley Park - Second Beach North → 0028 Davie & Beach,369,2.5587344173441733,18.0436766034327,107,Stanley Park - Second Beach North,Davie & Beach
