station,departures,avg_distance_km,avg_duration_min,ebike_trips,round_trips,returns,total_trips,net_flow,flow_type,ebike_pct,round_trip_pct,station_id,station_name,latitude,longitude
0001 10th & Cambie,5473,1.952761191302759,12.29942444728668,1997.0,396.0,5954,11427,-481,High Sink,36.5,7.2,1.0,10th & Cambie,,
0002 Burrard Station (Melville & Dunsmuir),4250,2.4908708235294115,17.938945098039216,1590.0,421.0,4516,8766,-266,High Sink,37.4,9.9,2.0,Burrard Station (Melville & Dunsmuir),,
0004 Yaletown-Roundhouse Station,3568,2.438019433856502,17.155016816143497,1111.0,295.0,4983,8551,-1415,High Sink,31.1,8.3,4.0,Yaletown-Roundhouse Station,,
0005 Dunsmuir & Beatty,6131,2.0866368732670035,14.540156581308104,1676.0,406.0,5562,11693,569,High Source,27.3,6.6,5.0,Dunsmuir & Beatty,,
0006 Olympic Village Station,4965,2.236614702920443,14.50754615642833,963.0,302.0,5804,10769,-839,High Sink,19.4,6.1,6.0,Olympic Village Station,,
0007 12th & Yukon (City Hall),622,1.9513424437299032,14.412942122186497,242.0,54.0,502,1124,120,High Source,38.9,8.7,7.0,12th & Yukon (City Hall),,
0008 8th & Ash,3491,2.1572824405614437,11.576573092714598,1605.0,439.0,3442,6933,49,Balanced,46.0,12.6,8.0,8th & Ash,,
0009 Spyglass & Seawall,2045,2.675152400977995,19.18884270578647,289.0,199.0,2156,4201,-111,High Sink,14.1,9.7,9.0,Spyglass & Seawall,,
0010 Stamps Landing,2833,2.541553123896929,17.552747382044945,627.0,355.0,2973,5806,-140,High Sink,22.1,12.5,10.0,Stamps Landing,,
0011 Ontario & Seawall,6954,2.752372975266034,17.114519221551145,1772.0,795.0,8386,15340,-1432,High Sink,25.5,11.4,11.0,Ontario & Seawall,,
0012 Dunsmuir & Richards,4816,2.1818098006644515,14.119186046511627,1792.0,268.0,5065,9881,-249,High Sink,37.2,5.6,12.0,Dunsmuir & Richards,,
0013 Maple Tree Square,3102,2.6137497324306898,19.887341500107457,1207.0,434.0,3626,6728,-524,High Sink,38.9,14.0,13.0,Maple Tree Square,,
0014 Canada Place,5400,4.5138885185185185,31.628725308641975,1928.0,1151.0,6274,11674,-874,High Sink,35.7,21.3,14.0,Canada Place,,
0015 Granville & Georgia,3406,1.9579177921315325,15.085652769622234,1035.0,270.0,2843,6249,563,High Source,30.4,7.9,15.0,Granville & Georgia,,
0016 Pender & Burrard,2220,3.282878527027026,21.90045045045045,843.0,333.0,2440,4660,-220,High Sink,38.0,15.0,16.0,Pender & Burrard,,
0017 Marinaside & Davie,5430,2.9577088397790057,19.845067526089625,1327.0,799.0,6213,11643,-783,High Sink,24.4,14.7,17.0,Marinaside & Davie,,
0019 Robson & Hornby,3353,2.3392041932597674,16.47051893826424,1043.0,257.0,3167,6520,186,High Source,31.1,7.7,19.0,Robson & Hornby,,
0021 Cordova & Granville,2434,3.4286142152834835,23.01089427554095,1236.0,310.0,2742,5176,-308,High Sink,50.8,12.7,21.0,Cordova & Granville,,
0024 Hornby & Pender,5505,2.7534013932788373,18.36874356645474,2300.0,602.0,6380,11885,-875,High Sink,41.8,10.9,24.0,Hornby & Pender,,
0025 Homer & Robson (Vancouver Public Library),3741,2.1406221144079125,15.356905461997684,1122.0,372.0,3451,7192,290,High Source,30.0,9.9,25.0,Homer & Robson (Vancouver Public Library),,
0026 Robson & Beatty,1810,2.409422099447514,23.38855432780847,686.0,296.0,1854,3664,-44,Balanced,37.9,16.4,26.0,Robson & Beatty,,
0027 Beatty & Nelson,2061,2.133514473556526,14.372675076823548,643.0,261.0,2116,4177,-55,High Sink,31.2,12.7,27.0,Beatty & Nelson,,
0028 Davie & Beach,8580,4.238375913752914,32.87422688422688,3551.0,2327.0,11291,19871,-2711,High Sink,41.4,27.1,28.0,Davie & Beach,,
0030 Abbott & Cordova,2987,2.557925343153666,18.228356210244392,962.0,335.0,3492,6479,-505,High Sink,32.2,11.2,30.0,Abbott & Cordova,,
0031 Morton & Denman,3266,4.066121044090631,28.76003776280874,1405.0,876.0,5774,9040,-2508,High Sink,43.0,26.8,31.0,Morton & Denman,,
0032 Comox & Denman,3998,2.461267383691846,16.77819743204936,1130.0,392.0,4636,8634,-638,High Sink,28.3,9.8,32.0,Comox & Denman,,
0034 Cordova & Bute,2891,4.091357315807679,29.592672662285256,1001.0,529.0,3091,5982,-200,High Sink,34.6,18.3,34.0,Cordova & Bute,,
0035 Hastings & Broughton,2366,4.527656382079459,33.12071710340941,573.0,380.0,2948,5314,-582,High Sink,24.2,16.1,35.0,Hastings & Broughton,,
0037 Hornby & Nelson,5112,2.1898735661189357,15.214723526343246,1860.0,489.0,4368,9480,744,High Source,36.4,9.6,37.0,Hornby & Nelson,,
0039 Helmcken & Burrard,4940,2.222289406882591,14.770917678812417,2330.0,757.0,4594,9534,346,High Source,47.2,15.3,39.0,Helmcken & Burrard,,
0040 Cardero & Davie,5486,2.203983168064163,12.997405517073762,2437.0,433.0,5274,10760,212,High Source,44.4,7.9,40.0,Cardero & Davie,,
0041 Cardero & Robson,4418,2.246255998189226,14.46501810774106,1518.0,466.0,4701,9119,-283,High Sink,34.4,10.5,41.0,Cardero & Robson,,
0044 Pacific & Richards,4259,2.15570924395398,15.471397824215387,1288.0,439.0,4219,8478,40,Balanced,30.2,10.3,44.0,Pacific & Richards,,
0045 Beach & Hornby,7278,3.008085692497939,21.178876980855545,1933.0,874.0,8130,15408,-852,High Sink,26.6,12.0,45.0,Beach & Hornby,,
0047 Chilco & Beach,3150,3.804331746031746,28.896322751322753,832.0,537.0,3635,6785,-485,High Sink,26.4,17.0,47.0,Chilco & Beach,,
0048 Comox & Broughton,2540,2.052661023622047,12.465603674540684,1153.0,313.0,2272,4812,268,High Source,45.4,12.3,48.0,Comox & Broughton,,
0050 Bute & Comox,5381,1.8203433692622188,11.977287369138326,1346.0,454.0,2533,7914,2848,High Source,25.0,8.4,50.0,Bute & Comox,,
0052 Cambie & Water,1986,3.073880161127895,23.30497650218194,917.0,300.0,2968,4954,-982,High Sink,46.2,15.1,52.0,Cambie & Water,,
0053 Keefer & Abbott,5753,2.4821633356509647,18.008612897618633,1672.0,659.0,6472,12225,-719,High Sink,29.1,11.5,53.0,Keefer & Abbott,,
0054 Expo & Carrall,1991,2.3017922300351583,16.465360790222668,496.0,176.0,2460,4451,-469,High Sink,24.9,8.8,54.0,Expo & Carrall,,
0055 Keefer & Columbia,2482,2.279730056406124,15.206016653236638,642.0,171.0,3087,5569,-605,High Sink,25.9,6.9,55.0,Keefer & Columbia,,
0057 Marinaside & Cooperage,5378,2.615537188545928,18.964233915953884,1392.0,703.0,5835,11213,-457,High Sink,25.9,13.1,57.0,Marinaside & Cooperage,,
0058 Richards & Smithe,5126,1.9372296137339056,13.306294706723891,1442.0,341.0,4950,10076,176,High Source,28.1,6.7,58.0,Richards & Smithe,,
0060 Bidwell & Burnaby,2599,2.772571631396691,17.988078748236504,924.0,421.0,2952,5551,-353,High Sink,35.6,16.2,60.0,Bidwell & Burnaby,,
0063 Robson & Granville,3080,2.133471321428571,17.76491341991342,967.0,361.0,2323,5403,757,High Source,31.4,11.7,63.0,Robson & Granville,,
0064 Expo & Smithe,3068,2.0882569524119945,15.49824532811821,1128.0,297.0,3315,6383,-247,High Sink,36.8,9.7,64.0,Expo & Smithe,,
0065 Cypress & Cornwall,3336,2.74725,19.442161270983213,1420.0,501.0,3915,7251,-579,High Sink,42.6,15.0,65.0,Cypress & Cornwall,,
0066 Anderson & 2nd,4870,3.126174127310062,21.82572553045859,1513.0,649.0,5526,10396,-656,High Sink,31.1,13.3,66.0,Anderson & 2nd,,
0068 Cypress & 10th,1683,2.2463412537136067,14.244979203802734,614.0,256.0,1543,3226,140,High Source,36.5,15.2,68.0,Cypress & 10th,,
0069 7th & Granville,2471,2.333342776203966,14.712376905436397,1022.0,286.0,2271,4742,200,High Source,41.4,11.6,69.0,7th & Granville,,
